"id","query","agent","topic","batch"
"1","扣费-关机后或资源删除后还会扣费？","账单与成本管理","知识问答","第一批"
"2","代金券管理-云商店代金券使用限制示例","活动优惠券","","第二批"
"3","华为云与华为云空间有联系吗","知识Agent","知识问答","第一批"
"4","为什么我的icp备案长时间卡在初审阶段","知识Agent","知识问答","第一批"
"5","有没有arm64的服务器","ECS云服务使用","辅助购买","第一批"
"6","自定义镜像","知识Agent","知识问答","第一批"
"7","可以部署银河麒麟系统吗","知识Agent","知识问答","第一批"
"8","可以部署银河麒麟飞腾版吗","知识Agent","知识问答","第一批"
"9","可以安装银河麒麟64位飞腾版吗","知识Agent","知识问答","第一批"
"10","如何关闭购买的云服务","资源管理,知识Agent","","第一批"
"11","开机没有反应","知识Agent","知识问答","第一批"
"12","设备邮箱要验证，那个消息中心在哪里","页面导航","快捷导航","第一批"
"13","游戏运维，需要部署网络射击竞技游戏，计划全国同服部署，请推荐华为云的节点，并给出时延。","知识Agent","知识问答","第一批"
"14","请推荐ECS规格","ECS云服务使用","辅助购买","第一批"
"15","如何充值？","知识Agent","知识问答","第一批"
"16","如何卸载CCE集群中的ICAgent插件","CCE云服务使用","知识","第一批"
"17","华为云的deepseek api token的rate limit，输入输出长度是多少","知识Agent","知识问答","第一批"
"18","云会议-如何购买会议套餐","知识Agent","知识问答","第一批"
"19","基本信息管理-查看基本信息","页面导航","快捷导航","第一批"
"20","云备份存储空间不足预警怎么关闭","知识Agent","知识问答","第一批"
"21","云速邮箱常见问题","知识Agent","知识问答","第一批"
"22","增加用户","知识Agent","知识问答","第一批"
"23","配置安全组后为何外网无法访问","知识Agent","知识问答","第一批"
"24","华为云数据库考试咨询","知识Agent","知识问答","第一批"
"25","域名怎么配置","知识Agent","知识问答","第一批"
"26","socks5是怎么创建的","知识Agent","知识问答","第一批"
"27","堡垒机系统没看到","知识Agent","知识问答","第一批"
"28","怎么登录堡垒机系统","知识Agent","知识问答","第一批"
"29","堡垒机的登录地址","知识Agent","知识问答","第一批"
"30","堡垒机系统在控制台哪个位置，有没有图片指引","页面导航","快捷导航","第一批"
"31","弹性公网IP意思是没有固定IP吗","知识Agent","知识问答","第二批"
"32","ModelArts可以本地部署吗","知识Agent","知识问答","第一批"
"33","roma-接入MQTT协议设备","知识Agent","知识问答","第一批"
"34","请问是否有相关Deepseek一体机产品","知识Agent","知识问答","第一批"
"35","没有解除合作伙伴","知识Agent","知识问答","第一批"
"36","为什么我的obs有套餐 还在扣费","账单与成本管理","扣费溯源","第一批"
"37","flexus应用不带数据库吗？数据库需要单独购买吗？","知识Agent","知识问答","第一批"
"38","如何与合作伙伴解除合作关系","知识Agent","知识问答","第一批"
"39","代售模式激励无法提取至银行账户","知识Agent","知识问答","第一批"
"40","请问怎么创建子账号，需要做到资源隔离、财务独立核算但可以和主账号一样有相同的折扣？","知识Agent","知识问答","第二批"
"41","企业邮箱在手机上登录，有专属的APP吗","知识Agent","知识问答","第一批"
"42","磁盘","知识Agent","知识问答","第一批"
"43","服务器数据库访问不通","ECS云服务使用","","第一批"
"44","连接失败的常见报错","知识Agent","知识问答","第一批"
"45","连接服务器数据库，表打开慢","ECS云服务使用","知识问答","第一批"
"46","如何查看我的工单？","工单管理","提工单","第一批"
"47","你好，我没购买产品，只是注册了一下，收费吗","知识Agent","知识问答","第一批"
"48","我的云会议账号","知识Agent","知识问答","第一批"
"49","个人账号","知识Agent","知识问答","第一批"
"50","解除关联","知识Agent","知识问答","第一批"
"51","调用重启dds实例的api，报invalid node type错误，什么原因如何解决","知识Agent","知识问答","第一批"
"52","mrs-sparksql任务，执行hint，没起作用呢？是哪里参数配置有问题吗","知识Agent","知识问答","第一批"
"53","deepseek 可以增加知识库么","知识Agent","知识问答","第一批"
"54","CDN回源流量计费吗","账单与成本管理,知识Agent","知识问答","第一批"
