"id","query","agent","topic"
"997","查看EVS总成本和每月EVS成本","账单成本","个性化成本分析"
"998","请帮忙核实下23年H1每月的摊销成本（去掉云手机），一线要计算阶梯返券，谢谢","账单成本","个性化成本分析"
"999","帮忙统计一下24年H1的摊销成本中有多少是不包括云硬盘产品的","账单成本","个性化成本分析"
"1000","仅排除云硬盘产品的前提下，帮忙统计一下24年H1的摊销成本一共有多少","账单成本","个性化成本分析"
"1001","我只要看云存储这个产品在25年H1的月度成本是多少","账单成本","个性化成本分析"
"1002","仅包括查询云存储这个产品在25年H1的月度成本","账单成本","个性化成本分析"
"1003","【1月2日】【蒙牛乳业】反馈【费用与成本】成本中心那，想看下2022年一年的EVS费用，有办法没","账单成本","个性化成本分析"
"1004","我的账号下面购买了的EVS硬盘，现在都没有了是因为资源被释放了吗 ？现在是不是还在继续产生费用 ？","账单成本","个性化成本分析"
"1005","根据资源维度汇总查询EVS云硬盘的成本耗费情况","账单成本","个性化成本分析"
"1006","按使用量类型汇总过去6个月的成本","账单成本","个性化成本分析"
"1007","按资源名称描述1-2月全部的云服务资源成本情况","账单成本","个性化成本分析"
"1008","可否根据运营实体区分查询本月上旬的原始成本有多少","账单成本","个性化成本分析"
"1009","按可用区汇总上礼拜的摊销成本","账单成本","个性化成本分析"
"1010","根据计费模式汇总25年上个季度的成本","账单成本","个性化成本分析"
"1011","根据关联账号汇总近半年的成本","账单成本","个性化成本分析"
"1012","成本分析里面的成本，是不是退掉的服务器金额也包含在里面","账单成本","个性化成本分析"
"1013","根据企业项目这个成本汇总维度汇总25年至今的资源包未抵扣的成本明细","账单成本","个性化成本分析"
"1014","25年1月5日至3月5日，退订的资源成本有多少","账单成本","个性化成本分析"
"1015","25年1月21日至上月月底，新购的EVS云硬盘的成本有多少","账单成本","个性化成本分析"
"1016","费用平台以机器为单位，按年周期查询使用成本是否支持？","账单成本","个性化成本分析"
"1017","成本中心根据资源名称/ID汇总，并过滤关联账号是autotestuser03_sub02的摊销成本数据","账单成本","个性化成本分析"
"1018","根据关联账号汇总查询名下子账号名称为autotestuser03_sub02的月度摊销成本数据","账单成本","个性化成本分析"
"1019","仅排除关联账号是autotestuser03_sub02的过去6个月成本数据","账单成本","个性化成本分析"
"1020","根据企业项目为CSBCostMgmt过滤查询2024年1月31号截至今天的天粒度成本摊销明细","账单成本","个性化成本分析"
"1021","企业项目为未归集的成本情况","账单成本","个性化成本分析"
"1022","我想从企业项目的维度统计下成本情况，分别看下2020、2021、2022、2023、2024的费用情况，咱们平台怎么能查下？时间跨度好像没那么长？如何解决？","账单成本","个性化成本分析"
"1023","根据企业项目汇总查询2024年的月度成本摊销明细情况","账单成本","个性化成本分析"
"1024","主账号autotestuser03名下子账号为autotestuser03_sub02的仅包括产品类型为CDN和OBS的原始成本是多少","账单成本","个性化成本分析"
"1025","根据成本分拆项查询我25年2月至3月的摊销成本","账单成本","个性化成本分析"
"1026","CDN按照域名和流量分拆以后，我的本月摊销成本明细是多少","账单成本","个性化成本分析"
"1027","请提供一下本月1号到10号的边缘带宽成本和中心带宽成本的成本分摊明细","账单成本","个性化成本分析"
"1028","CDN的流量计费数据按照域名进行成本分拆后的摊销成本明细有多少","账单成本","个性化成本分析"
"1029","CDN的月结95峰值带宽计费根据企业项目分拆后的摊销成本明细有多少","账单成本","个性化成本分析"
"1030","CDN的日峰值月平均计费的数据根据分拆项汇总后的摊销成本数据是多少","账单成本","个性化成本分析"
"1031","在过滤器的“分拆项”中选择分拆项为www.huawei.com的CDN当月摊销成本明细是多少","账单成本","个性化成本分析"
"1032","在过滤器的“分拆项”中选择分拆项为未归集的当月CDN摊销成本明细是多少","账单成本","个性化成本分析"
"1033","在成本中心查看CDN域名归属的企业项目为部门B的成本分拆了多少","账单成本","个性化成本分析"
"1034","在成本中心查看CDN域名归属的成本标签为Project:ZK的成本分拆了多少","账单成本","个性化成本分析"
"1035","当年至今，全站加速 WSA的请求数据经过成本分拆后，请给一版具体的成本分拆明细数据","账单成本","个性化成本分析"
"1036","视频直播 Live的域名分拆结果在成本中心那边按照企业项目汇总的话，成本数据是怎么拆分的","账单成本","个性化成本分析"
"1037","共享带宽支持eip分拆，请提供一份根据分拆项:IP地址的成本明细数据","账单成本","个性化成本分析"
"1038","请根据ELB和WAF产品类型过滤产品为独享引擎的成本数据","账单成本","个性化成本分析"
"1039","请根据VPC和OBS产品类型过滤产品为云存储的成本数据","账单成本","个性化成本分析"
"1040","提供一份2月成本分摊明细给我","账单成本","个性化成本分析"
"1041","按天粒度汇总过去6个月的摊销应付成本","账单成本","个性化成本分析"
"1042","按月粒度汇总过去18个月的摊销实付成本","账单成本","个性化成本分析"
"1043","请成本中心分析一下OBS昨天的原始成本应付金额大概有多少，要以小时粒度呈现","账单成本","个性化成本分析"
"1044","请问如何使用标签归集成本，即我如何查看某一个标签下，相关资源的费用情况。","账单成本","个性化成本分析"
"1045","根据资源ID汇总上半年查询成本标签为Project:HW的成本明细数据","账单成本","个性化成本分析"
"1046","按成本标签为tag汇总过去14天的原始成本","账单成本","个性化成本分析"
"1047","仅排除华为云24年1月-3月成本标签为ENV的未归集标签摊销成本数据","账单成本","个性化成本分析"
"1048","请问25年4月成本标签为Project的EVS的云硬盘摊销数据有多少","账单成本","个性化成本分析"
"1049","请问23年11月至25年4月成本标签为Project的摊销数据有多少","账单成本","个性化成本分析"
"1050","实例资源ID：01154-810100274-0请帮确认下，此实例一个月的成本是30元吗","账单成本","个性化成本分析"
"1051","资源id为0942521e-f07b-49e3-bc7e-a4a0df3b20df的过去一个月成本是多少","账单成本","个性化成本分析"
"1052","客户的成本摊销有疑问，帮忙看下24年到现在的摊销成本是多少","账单成本","个性化成本分析"
"1053","请根据月粒度呈现24年到现在的摊销成本","账单成本","个性化成本分析"
"1054","成本标签为Project的华为云24年1月-3月的分摊成本","账单成本","个性化成本分析"
"1055","本月上旬成本标签为Project的摊销实付成本是多少","账单成本","个性化成本分析"
"1056","查看当月原始成本归属于成本标签Project的未归集数据","账单成本","个性化成本分析"
"1057","请问25年1月-3月成本标签为Project的各个子账号的摊销数据有多少","账单成本","个性化成本分析"
"1058","根据关联账号汇总，过滤项成本标签键值对为Project:HW的当月成本是多少","账单成本","个性化成本分析"
"1059","在成本标签tag汇总维度下再补充各个区域维度汇总的今年的成本数据","账单成本","个性化成本分析"
"1060","根据成本分组威风和计费模式两个维度查询今年1月到3月的原始成本","账单成本","个性化成本分析"
"1061","先基于关联账号汇总，再基于企业项目展示过去三个月的摊销成本数据","账单成本","个性化成本分析"
"1062","请问成本分析里面-企业项目这里，如何详细列出各企业项目的产品类型成本？好方便更直观看出每个企业实际成本情况。","账单成本","个性化成本分析"
"1063","成本分析页面如何在产品类型汇总维度下展示成本的每个计费模式分布情况","账单成本","个性化成本分析"
"1064","根据企业项目和产品类型这两个汇总维度多维汇总我的本月摊销成本","账单成本","个性化成本分析"
"1065","上个月按各服务和各企业项目细分的原始成本有多少","账单成本","个性化成本分析"
"1066","我想知道上个月按各服务和各区域细分的原始成本","账单成本","个性化成本分析"
"1067","可否根据资源汇总我的每日成本","账单成本","个性化成本分析"
"1068","产品为固定带宽的成本有多少","账单成本","个性化成本分析"
"1069","VPC的共享带宽月度成本有多少","账单成本","个性化成本分析"
"1070","EVS每个规格的详细成本有多少","账单成本","个性化成本分析"
"1071","VPC下面产品为共享带宽的月度成本摊销明细有多少","账单成本","个性化成本分析"
"1072","过滤查询25年3月份ModelArts下面企业项目为default的摊销成本情况","账单成本","个性化成本分析"
"1073","根据成本分组""其他业务""汇总查询每日成本","账单成本","个性化成本分析"
"1074","成本分组：""成本测试"" 下的成本是多少？","账单成本","个性化成本分析"
"1075","成本分组：""测试勿删"" 下的AA成本是多少？","账单成本","个性化成本分析"
"1076","根据产品汇总，过去12个月，归属于成本分组为测试勿删下的未归集成本有多少","账单成本","个性化成本分析"
"1077","归属于成本分组为测试勿删:first成本有多少","账单成本","个性化成本分析"
"1078","去年10月到今年3月，成本分组的项目场景A:子的成本数据有多少","账单成本","个性化成本分析"
"1079","在成本分组RRR下有哪些成本是分布在不同的区域下的，可以直观的展示出来吗","账单成本","个性化成本分析"
"1080","在成本分组测试勿删的汇总维度下看资源名称为SFS存储包 100GB 包月的当月成本明细有多少啊","账单成本","个性化成本分析"
"1081","我选择了成本分组为测试勿删，本月6月2日截止到今天的这部分成本请根据小时粒度呈现给我一份明细","账单成本","个性化成本分析"
"1082","我选择了成本分组为测试勿删汇总维度，25年H1的原始净值成本数据是多少？","账单成本","个性化成本分析"
"1083","根据产品汇总，过去12个月，归属于成本分组为测试勿删下的未分配成本有多少","账单成本","个性化成本分析"
"1084","根据资源ID汇总，未归集的企业项目在成本中心查出来多少钱","账单成本","个性化成本分析"
"1085","筛选:
按成本分组筛选, Name: 测试勿删

均摊成本净值, 按小时汇总查询成本","账单成本","个性化成本分析"
"1086","筛选:
按成本分组筛选, Name: 测试勿删

均摊成本净值, 按月汇总查询成本","账单成本","个性化成本分析"
