id	query	agent	topic
1	请提供函数模板，用于给我的图片加上水印	FunctionGraph云服务使用	函数生成
2	请提供函数模板，用于发送一个带附件的邮件	FunctionGraph云服务使用	函数生成
3	mmt的OBS桶新增数据后，会传输事件到DIS通道，帮我写一个函数，定期拉取dis的事件，下载OBS的内容到本地	FunctionGraph云服务使用	函数生成
4	客户平常工作需要使用到如下几个运维动作，需求增加这几个函数模板，支持定时ECS切换操作系统	FunctionGraph云服务使用	函数生成
5	客户平常工作需要使用到如下几个运维动作，需求增加这几个函数模板，支持定时ECS规格降配	FunctionGraph云服务使用	函数生成
6	客户平常工作需要使用到如下几个运维动作，需求增加这几个函数模板，支持定时ECS手动备份	FunctionGraph云服务使用	函数生成
7	客户平常工作需要使用到如下几个运维动作，需求增加这几个函数模板，支持定时ECS做镜像	FunctionGraph云服务使用	函数生成
8	客户平常工作需要使用到如下几个运维动作，需求增加这几个函数模板，支持定时ECS切换VPC	FunctionGraph云服务使用	函数生成
9	客户要使用nodejs语言连接dds服务并获取数据，函数没有示例，需要产品出个模板	FunctionGraph云服务使用	函数生成
10	监控专线流量需要设置流量告警并通知到钉钉，函数中没有对接钉钉的函数模板	FunctionGraph云服务使用	函数生成
11	帮我用Python写一段代码，在连续5分钟出现超过100个429响应的日志时，发邮件给我	FunctionGraph云服务使用	函数生成
12	帮我写一个函数，在监控到对GeminiDB服务的配置做操作时，同步一份日志到我的服务器	FunctionGraph云服务使用	函数生成
13	帮我写一个函数，每天晚上24点帮我重启一下xx，xx，xx这几个虚拟机	FunctionGraph云服务使用	函数生成
14	如何创建一个定时将OBS桶中CSV文件导入云数据库RDS的Python函数？	FunctionGraph云服务使用	函数生成
15	我需要一个Node.js函数示例，当APIG接收到POST请求时，将数据写入DIS流	FunctionGraph云服务使用	函数生成
16	请生成一个每天凌晨3点自动清理/tmp目录的Python函数，使用3.9运行时	FunctionGraph云服务使用	函数生成
17	创建一个当OBS桶收到新JSON文件时自动触发解析的Python函数，要求3.9环境	FunctionGraph云服务使用	函数生成
18	我需要一个通过SMN消息通知触发的函数示例，处理告警信息并写入数据库	FunctionGraph云服务使用	函数生成
19	请提供Python函数连接GaussDB的最佳实践代码，包含连接池管理	FunctionGraph云服务使用	函数生成
20	我需要一个自动压缩OBS桶中图片的函数，支持PNG和JPG格式，使用Python 3.9	FunctionGraph云服务使用	函数生成
21	请生成一个通过APIG触发器获取天气API数据并缓存到Redis的函数代码	FunctionGraph云服务使用	函数生成
22	当DIS通道收到新数据时触发函数处理，请提供Python示例代码	FunctionGraph云服务使用	函数生成
23	How to create a Python function that periodically imports CSV files from an OBS bucket into an RDS database?	FunctionGraph云服务使用	函数生成
24	I need a Node.js function example that writes data to DIS streams when triggered by APIG POST requests	FunctionGraph云服务使用	函数生成
25	Generate a Python 3.9 function to automatically clean the /tmp directory every day at 3 AM	FunctionGraph云服务使用	函数生成
26	Create a Python 3.9 function that automatically parses new JSON files uploaded to an OBS bucket	FunctionGraph云服务使用	函数生成
27	Provide an SMN-triggered function example to process alerts and write to a database	FunctionGraph云服务使用	函数生成
28	Provide best-practice Python code for connecting to GaussDB with connection pool management	FunctionGraph云服务使用	函数生成
29	Create a Python 3.9 function to automatically compress PNG/JPG images in an OBS bucket	FunctionGraph云服务使用	函数生成
30	Generate a function code that uses APIG triggers to fetch weather API data and cache it in Redis	FunctionGraph云服务使用	函数生成
31	Provide Python sample code for processing new data in DIS channels via function triggers	FunctionGraph云服务使用	函数生成
32	如何查询系统内置函数的信息	FunctionGraph云服务使用	兜底
33	在Spark SQL队列下创建自定义函数	FunctionGraph云服务使用	兜底
34	把这段SQL语句转化为标准的API开放	FunctionGraph云服务使用	函数生成
35	帮我写一个DLI的数学函数，用于做进制转换	FunctionGraph云服务使用	兜底
36	将这个Lambda的函数迁移到华为云函数	FunctionGraph云服务使用	函数生成
